profession	name	lv	region	location	quantity	coordinates	time	npc	bait	weather	special	note
logging	Ash Log	10	The Black Shroud	Central Shroud		26, 20						
logging	Crow Feather	10	The Black Shroud	Central Shroud		26, 20						
logging	Tinolqa Mistletoe	10	The Black Shroud	Central Shroud		26, 20						
logging	Elm Log	15	The Black Shroud	Central Shroud		20, 20						
logging	Gridanian Chestnut	15	The Black Shroud	Central Shroud		21, 19						
mining	Raw Peridot	35	The Black Shroud	Central Shroud		14, 22						
mining	Raw Amethyst	35	The Black Shroud	Central Shroud		14, 22						
mining	Granite	35	The Black Shroud	Central Shroud		14, 22						
harvesting	Belladonna	20	The Black Shroud	East Shroud		19, 28						
harvesting	Gil Bun	20	The Black Shroud	East Shroud		19, 28						
harvesting	Galago Mint	20	The Black Shroud	East Shroud		19, 28						
harvesting	Silkworm Cocoon	50	The Black Shroud	East Shroud		22, 26	1am					
harvesting	Trillium Bulb	50	The Black Shroud	East Shroud		13, 23	9pm					
hunting	Treant Sap	21	The Black Shroud	East Shroud		15, 24		Diseased Treant				
hunting	Scalekin Blood	24	The Black Shroud	East Shroud		16, 20		Jumping Djigga				
hunting	Ochu Vine	48	The Black Shroud	East Shroud		23, 18		Milkroot Claster				
logging	Faerie Apple	20	The Black Shroud	East Shroud		15, 27						
logging	Yew Branch	20	The Black Shroud	East Shroud		15, 27						
logging	Yew Log	20	The Black Shroud	East Shroud		15, 27						
logging	Rosewood Branch	50	The Black Shroud	East Shroud		16, 23						
logging	Rosewood Log	50	The Black Shroud	East Shroud		16, 23						
quarrying	Wind Crystal	30	The Black Shroud	East Shroud		21, 28						
fishing	Crayfish	1	The Black Shroud	New Gridania		12, 13			no			
fishing	Pipira	5	The Black Shroud	New Gridania		12, 13			freshwater			
fishing	Maiden Carp	5	The Black Shroud	New Gridania		12, 13			freshwater			
fishing	Raincaller	43	The Black Shroud	New Gridania		12, 13			freshwater	rain, snow		
fishing	Bluebell Salmon	15	The Black Shroud	North Shroud		26, 25			freshwater			
fishing	Oakroot	44	The Black Shroud	North Shroud		20, 20			freshwater			
harvesting	Wizard Eggplant	30	The Black Shroud	North Shroud		23, 26						
harvesting	Moor Leech	30	The Black Shroud	North Shroud		24, 26						
harvesting	Jade Peas	30	The Black Shroud	North Shroud		23, 26						
harvesting	Midland Cabbage	30	The Black Shroud	North Shroud		23, 26						
hunting	Yellow Yarzon Leg	26	The Black Shroud	North Shroud		21, 31		Yarzon Scavenger				
hunting	Diremite Sinew	25-27	The Black Shroud	North Shroud		16, 27		Banemite family				
hunting	Diremite Web	25-27, 29	The Black Shroud	North Shroud		16, 27		Banemite family				
hunting	Acidic Secretions	25-28	The Black Shroud	North Shroud		21, 30		Shroud Hare				
hunting	Spoken Blood	37, 46-48	The Black Shroud	North Shroud		22, 20		Lesser Kalong				
logging	Cinnamon	5	The Black Shroud	North Shroud		26, 28						
logging	Maple Sap	5	The Black Shroud	North Shroud		26, 28						
logging	Beehive Chip	5	The Black Shroud	North Shroud		26, 28						
mining	Earth Shard	5	The Black Shroud	North Shroud		26, 22						
mining	Raw Lapis Lazuli	10	The Black Shroud	North Shroud		28, 25						
mining	Potter’s Clay	10	The Black Shroud	North Shroud		28, 25						
mining	Raw Sphene	20	The Black Shroud	North Shroud		30, 23						
fishing	Black Eel	25	The Black Shroud	South Shroud		24, 22	5pm-10am		freshwater			
fishing	Velodyna Carp	38	The Black Shroud	South Shroud		24, 22			freshwater			
harvesting	Flax	35	The Black Shroud	South Shroud		17, 30						
harvesting	Wildfowl Feather	35	The Black Shroud	South Shroud		17, 30						
harvesting	White Truffle	35	The Black Shroud	South Shroud		16, 27						
harvesting	Blood Currants	40	The Black Shroud	South Shroud		22, 29						
harvesting	Thyme	40	The Black Shroud	South Shroud		20, 29						
hunting	Blue Yarzon Leg	25	The Black Shroud	South Shroud		22, 23		River Yarzon				
hunting	Antelope Shank	20-23	The Black Shroud	South Shroud		15, 18		Antelope Doe				
hunting	Blue Landtrap Leaf	21-24	The Black Shroud	South Shroud		16, 20		Kedtrap				
hunting	Antelope Horn	25-28	The Black Shroud	South Shroud		21, 20		Antelope Stag				
hunting	Beast Sinew	25-28	The Black Shroud	South Shroud		21, 20		Antelope Stag				
hunting	Boar Hide	45-46	The Black Shroud	South Shroud		29, 24		Wild Hog				
logging	Gridanian Walnut	25	The Black Shroud	South Shroud		23, 22						
logging	Walnut Log	25	The Black Shroud	South Shroud		23, 22						
logging	Matron’s Mistletoe	25	The Black Shroud	South Shroud		23, 22						
logging	Chocobo Feather	30	The Black Shroud	South Shroud		26, 19						
logging	Alligator Pear	30	The Black Shroud	South Shroud		26, 19						
logging	Oak Branch	35	The Black Shroud	South Shroud		17, 30						
logging	Oak Log	35	The Black Shroud	South Shroud		17, 30						
logging	Tarantula	35	The Black Shroud	South Shroud		17, 30						
mining	Effervescent Water	25	The Black Shroud	South Shroud		16.3, 19.8						
mining	Silver Ore	25	The Black Shroud	South Shroud		16.3, 19.8						
mining	Black Alumen	40	The Black Shroud	South Shroud		29, 22						
mining	Raw Spinel	40	The Black Shroud	South Shroud		29, 22						
mining	Raw Tourmaline	40	The Black Shroud	South Shroud		29, 23						
quarrying	Silver Sand	25	The Black Shroud	South Shroud		23, 21						
quarrying	Earth Rock	25	The Black Shroud	South Shroud		23, 21						
quarrying	Ice Rock	25	The Black Shroud	South Shroud		23, 21						
quarrying	Wind Rock	25	The Black Shroud	South Shroud		23, 21						
other	Faded Copy of The Only Path	50	Treasure Map									Dragonskin Treasure Map, Goatskin Treasure Map, Leather Buried Treasure Map, Leather Treasure Map, Peisteskin Treasure Map, Wyvernskin Treasure Map
other	Faded Copy of A World Apart	50	Voyage	Sea of Clouds – Sector 23								
